,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
1512,heights_high_5.mov,1.0,2.0,1.0,2032.4479999999999,2035.4479999999999,0.345,3.17,0.21,1.585,2048.949,2068.955,0.677,0.86,0.84,0.496,1.485,0.6679999999999999,1.1520000000000001,1.986,156.0,0.919,0.21,0.838,0.017,35.0,
1513,heights_high_2.mov,1.0,2.0,1.0,2083.738,2086.738,0.306,38.793,0.16699999999999998,0.618,2134.894,2155.768,0.5820000000000001,0.8390000000000001,0.7490000000000001,0.609,3.17,0.818,0.634,2.77,156.0,0.902,0.05,0.838,0.017,36.0,
1514,social_low_1.m4v,2.0,1.0,2.0,10.061,13.087,0.262,2.7030000000000003,0.14,3.7710000000000004,23.343000000000004,44.169,0.015,0.035,0.044000000000000004,0.517,5.189,4.305,2.353,4.539,157.0,,0.05,1.083,0.031,1.0,
1515,social_high_1.mov,2.0,2.0,1.0,70.061,73.062,0.115,3.938,0.08199999999999999,1.8519999999999999,83.59299999999999,103.666,0.15,0.204,0.457,0.46,3.387,4.072,6.757999999999999,2.269,157.0,1.085,0.0,1.083,0.031,2.0,
1516,heights_high_6.mov,1.0,2.0,2.0,129.66,132.661,0.728,4.088,0.18,2.369,147.864,168.37099999999998,0.7040000000000001,0.7509999999999999,0.78,0.23399999999999999,3.7039999999999997,4.155,2.102,3.738,157.0,1.131,0.051,1.083,0.031,3.0,
1517,heights_low_6.m4v,1.0,1.0,1.0,191.579,194.579,0.8220000000000001,2.336,0.151,4.7219999999999995,210.38299999999998,228.391,0.293,0.282,0.19399999999999998,0.685,5.189,2.937,4.322,4.939,157.0,1.031,0.0,1.083,0.031,4.0,
1518,heights_low_2.m4v,1.0,1.0,1.0,255.282,258.285,0.69,2.92,0.23600000000000002,2.119,272.069,292.111,0.214,0.16,0.17,0.579,3.137,0.9179999999999999,3.804,3.02,157.0,1.087,0.0,1.083,0.031,5.0,
1519,spider_high_4.m4v,3.0,2.0,2.0,312.496,315.496,0.732,2.787,0.222,5.0889999999999995,329.11400000000003,349.606,0.631,0.745,0.721,0.185,3.4539999999999997,3.3539999999999996,2.436,2.42,157.0,1.15,0.0,1.083,0.031,6.0,
1520,spider_high_5.m4v,3.0,2.0,1.0,370.76,373.76,0.792,2.086,0.301,2.72,382.306,402.798,0.547,0.578,0.546,0.183,6.24,2.803,5.056,5.3229999999999995,157.0,1.0979999999999999,0.0,1.083,0.031,7.0,
1521,spider_low_1.m4v,3.0,1.0,1.0,431.711,434.711,0.76,2.987,0.182,1.886,443.324,463.583,0.627,0.727,0.7140000000000001,0.168,3.8710000000000004,2.319,2.72,2.103,157.0,1.0979999999999999,0.0,1.083,0.031,8.0,
1522,heights_high_2.mov,1.0,2.0,2.0,484.085,487.086,0.737,3.904,0.175,2.036,501.772,522.6619999999999,0.785,0.977,0.816,0.5,3.6039999999999996,3.404,2.8369999999999997,0.017,157.0,1.071,0.151,1.083,0.031,9.0,
1523,social_high_6.mov,2.0,2.0,2.0,542.016,545.0169999999999,0.282,4.155,0.212,1.068,553.979,574.519,0.19399999999999998,0.325,0.505,0.452,4.205,4.555,2.086,3.5039999999999996,157.0,1.112,0.0,1.083,0.031,10.0,
1524,social_low_4.m4v,2.0,1.0,1.0,598.362,601.362,0.35,4.7219999999999995,0.131,3.07,614.8969999999999,635.64,0.042,0.09300000000000001,0.053,0.491,3.3710000000000004,1.051,2.186,2.336,157.0,1.083,0.0,1.083,0.031,11.0,
1525,spider_low_5.mov,3.0,1.0,2.0,654.0740000000001,657.074,0.804,2.2359999999999998,0.284,2.737,666.788,687.127,0.33799999999999997,0.48100000000000004,0.493,0.23800000000000002,5.773,3.3539999999999996,1.936,2.403,157.0,1.125,0.052000000000000005,1.083,0.031,12.0,
1526,social_low_2.mov,2.0,1.0,2.0,782.883,785.883,0.207,2.937,0.098,2.169,794.7289999999999,816.072,0.20600000000000002,0.21899999999999997,0.435,0.5,4.155,2.386,2.687,2.1519999999999997,157.0,1.053,0.0,1.083,0.031,13.0,
1527,social_high_3.mov,2.0,2.0,1.0,836.959,839.959,0.21600000000000003,1.869,0.139,1.285,846.8530000000001,867.227,0.39399999999999996,0.484,0.48100000000000004,0.391,8.076,2.92,2.052,5.372999999999999,157.0,1.117,0.0,1.083,0.031,14.0,
1528,spider_high_3.mov,3.0,2.0,2.0,895.1569999999999,898.158,0.767,1.535,0.306,3.471,907.904,928.0269999999999,0.733,0.8270000000000001,0.721,0.055999999999999994,1.936,1.4680000000000002,1.4180000000000001,2.003,157.0,1.1179999999999999,0.0,1.083,0.031,15.0,
1529,spider_high_1.mov,3.0,2.0,1.0,944.3439999999999,947.345,0.85,2.9539999999999997,0.33899999999999997,2.002,958.043,978.049,0.634,0.6,0.581,0.215,4.288,4.188,1.8019999999999998,2.4530000000000003,157.0,1.176,0.0,1.083,0.031,16.0,
1530,spider_low_6.m4v,3.0,1.0,1.0,1000.273,1003.273,0.779,2.47,0.389,7.242000000000001,1016.725,1037.234,0.539,0.5820000000000001,0.583,0.32799999999999996,4.021,3.7539999999999996,3.7039999999999997,5.707000000000001,157.0,1.1159999999999999,0.0,1.083,0.031,17.0,
1531,social_high_4_replacement.mov,2.0,2.0,2.0,1063.91,1066.91,0.29100000000000004,2.853,0.267,2.136,1076.641,1096.947,0.21600000000000003,0.376,0.41,0.431,9.677999999999999,5.072,3.054,3.287,157.0,1.151,0.052000000000000005,1.083,0.031,18.0,
1532,social_low_5.m4v,2.0,1.0,1.0,1127.53,1130.531,0.374,1.886,0.281,1.135,1139.277,1159.285,0.057999999999999996,0.07200000000000001,0.067,0.498,2.286,1.869,2.136,2.386,157.0,1.025,0.0,1.083,0.031,19.0,
1533,heights_low_1.m4v,1.0,1.0,2.0,1177.469,1180.47,0.726,2.4859999999999998,0.337,3.321,1195.022,1216.015,0.19899999999999998,0.305,0.33299999999999996,0.5,2.8369999999999997,2.57,3.387,1.6019999999999999,157.0,1.072,0.0,1.083,0.031,20.0,
