video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,anticipation_hp,anticipation_scr_events,video_hp,video_scr,hp_video_ratings,participant_num,hp_base_anticipation,base_ECG,base_scr,trial_num
social_high_4_replacement.mov,2,2,2,1175.083,1178.083,0.026,1.368,0,0.834,1184.076,1204.366,0.02,0.035,0.732,0.49,2.503,1.268,1.668,2.97,0.742,0,0.725,0.052,0.854,109,0.725,0.821,0.141,22
spider_high_6.mov,3,2,2,1222.369,1225.369,0.695,4.837,0.087,1.101,1235.083,1254.705,0.665,0.893,0.885,0.011,1.535,1.502,1.568,1.569,0.851,0,0.824,0.161,0.813,109,0.93,0.821,0.141,23
spider_high_2.m4v,3,2,1,1270.472,1273.472,0.779,1.235,0.19,2.67,1281.15,1301.224,0.835,0.89,0.901,0.019,1.602,1.201,0.801,1.669,0.812,0,0.837,0.157,0.859,109,0.897,0.821,0.141,24
social_low_2.mov,2,1,2,1388.803,1391.803,0.089,2.436,0.047,1.399,1399.415,1420.756,0.191,0.261,0.651,0.509,1.835,2.536,1.035,3.237,0.864,0,0.843,0.098,0.751,109,0.897,0.821,0.141,25
spider_low_3.m4v,3,1,2,1439.009,1442.009,0.715,1.468,0.045,1.001,1448.252,1468.926,0.362,0.552,0.731,0.585,2.336,3.604,1.068,0.834,0.884,0,0.82,0.102,0.867,109,0.752,0.821,0.141,26
heights_low_3.mov,1,1,2,1486.378,1489.378,0.086,1.435,0.034,1.235,1500.827,1519.331,0,0,0.404,0.904,2.236,0.701,1.769,1.402,0.735,0,0.821,0.057,0.847,109,0.739,0.821,0.141,27
heights_low_5.m4v,1,1,1,1535.048,1538.048,0.119,1.936,0.03,2.236,1550.999,1570.989,0.048,0.087,0.778,1,1.702,1.402,1.302,0.901,0.743,0,0.911,0.105,0.898,109,0.679,0.821,0.141,28
heights_high_6.mov,1,2,1,1585.888,1588.888,0.205,2.87,0.059,1.5,1602.056,1622.545,0.889,0.883,0.98,0.117,1.535,1.035,0.901,1.035,0.726,0,0.895,0.205,0.859,109,0.622,0.821,0.141,29
spider_high_4.m4v,3,2,2,1636.663,1639.663,0.677,1.702,0.106,2.002,1648.156,1668.647,1,1,1,0,3.204,1.032,0.935,0.966,0.729,0,0.837,0.051,0.927,109,0.754,0.821,0.141,30
spider_low_6.m4v,3,1,1,1684.38,1687.38,0.862,1.301,0.301,1.201,1695.659,1716.183,0.826,0.817,0.745,0.045,1.736,0.901,3.037,2.269,0.852,0,0.777,0.154,0.907,109,0.958,0.821,0.141,31
spider_high_1.mov,3,2,1,1733.718,1736.718,0.742,2.703,0.059,1.135,1744.33,1764.319,0.906,0.9,0.85,0.082,1.769,0.901,1.134,1.268,0.611,0,0.809,0.053,NaN,109,0.798,0.821,0.141,32
social_low_4.m4v,2,1,2,1778.985,1781.985,0.044,0.999,0,1.435,1789.196,1809.92,0.001,0,0.656,0.905,2.069,1.068,2.536,1.635,0.805,0,0.95,0.101,0.91,109,0.808,0.821,0.141,33
social_high_5.m4v,2,2,1,1826.838,1829.838,0.031,2.134,0.042,1.435,1837.199,1857.222,0.068,0.308,0.963,0.96,2.002,2.002,2.536,1.435,0.84,0,0.931,0.158,0.885,109,0.918,0.821,0.141,34
social_high_3.mov,2,2,1,1874.791,1877.791,0.058,3.304,0.072,2.334,1889.223,1909.596,0.248,0.592,0.767,0.593,2.837,0.768,1.566,2.803,0.729,0,0.932,0.155,0.925,109,0.685,0.821,0.141,35
heights_high_4.m4v,1,2,2,1927.166,1930.166,0.105,2.035,0.039,1.368,1942.349,1962.656,0.94,0.924,1,0.313,1.869,1.202,0.668,2.536,0.865,0,0.907,0.207,0.949,109,0.82,0.821,0.141,36
social_high_3.mov,2,2,2,10.061,13.085,0.272,4.605,0.041,2.787,26.213,46.569,0.732,0.727,0.946,0.258,2.603,4.155,2.636,2.519,NaN,0,0.805,0.155,NaN,110,0.786,NaN,0.11,1
heights_low_2.m4v,1,1,2,67.992,70.992,0.087,3.738,0.109,3.17,86.646,106.653,0,0,0,1,1.819,1.235,1.685,1.735,NaN,0,0.749,0.21,0.8,110,0.804,NaN,0.11,2
heights_high_4.m4v,1,2,1,122.619,125.619,0.35,5.106,0.228,1.902,141.356,161.63,0.65,0.725,0.761,0.201,3.42,2.186,1.935,1.518,0.713,0,0.744,0.156,0.795,110,0.711,NaN,0.11,3
heights_high_2.mov,1,2,1,180.183,183.183,0.208,2.57,0.291,2.419,196.901,217.758,0.651,0.6,0.833,0.364,2.803,1.802,2.92,3.12,NaN,0,NaN,0.151,0.797,110,0.824,NaN,0.11,4
spider_high_2.m4v,3,2,2,237.897,240.897,0.377,5.94,0.156,1.435,253.014,273.037,0.293,0.131,0.379,0.4,2.036,1.268,2.803,4.872,0.795,0,0.799,0,0.772,110,0.788,NaN,0.11,5
heights_low_3.mov,1,1,2,293.508,296.508,0.363,2.903,0.104,5.039,313.18,331.651,0,0,0.651,1,3.404,2.036,1.835,1.302,0.772,0,NaN,0.114,0.783,110,0.672,NaN,0.11,6
social_high_2.mov,2,2,2,349.72,352.72,0.401,3.287,0.233,1.919,361.65,382.59,0.656,0.724,0.916,0.163,3.02,1.619,1.518,1.986,0.716,0,NaN,0.05,0.799,110,0.756,NaN,0.11,7
social_low_3.m4v,2,1,1,400.226,403.226,0.215,5.49,0.246,2.786,415.226,435.349,0,0,0.889,0.875,1.802,1.035,1.402,1.852,0.767,0,NaN,0.157,0.775,110,0.682,NaN,0.11,8
