video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,anticipation_hp,anticipation_scr_events,video_hp,video_scr,hp_video_ratings,participant_num,hp_base_anticipation,base_ECG,base_scr,trial_num
spider_high_1.mov,3,2,1,671.358,674.359,0,8.86,0,0.968,688.928,708.934,0.713,0.729,0.163,0.082,3.471,2.019,3.387,1.685,0.756,0,0.811,0,0.736,172,0.668,0.775,0.028,11
heights_low_3.mov,1,1,2,728.989,731.989,0,3.304,0,3.887,747.926,766.431,0,0,0.522,0.685,3.704,1.535,12.314,4.221,0.66,0,0.733,0,0.744,172,0.642,0.775,0.028,12
heights_low_6.m4v,1,1,2,871.079,874.08,0.001,3.988,0,1.001,887.814,905.821,0,0,0.649,0.842,2.002,1.618,2.386,3.054,0.755,0,0.745,0.059,0.768,172,0.623,0.775,0.028,13
heights_high_2.mov,1,2,1,924.371,927.372,0,2.72,0,0.935,939.772,960.646,0.616,0.69,0.257,0.389,3.938,1.936,2.67,2.904,0.671,0,0.705,0.151,0.737,172,0.66,0.775,0.028,14
heights_high_4.m4v,1,2,1,981.585,984.585,0,1.952,0,2.586,997.869,1018.161,0.274,0.303,0.325,0.432,4.138,4.238,2.903,3.571,0.688,0,0.723,0.104,0.774,172,0.846,0.775,0.028,15
spider_high_5.m4v,3,2,2,1042.502,1045.502,0,3.154,0,2.319,1054.715,1075.224,0.186,0.507,0.18,0.5,2.72,2.787,1.902,4.021,0.684,0,0.785,0,0.734,172,0.712,0.775,0.028,16
spider_low_2.mov,3,1,1,1096.145,1099.145,0,2.503,0,0.968,1108.358,1128.898,0,0,0,1,2.77,1.101,2.887,2.653,0.577,0,0.685,0.051,0.756,172,0.695,0.775,0.028,17
social_low_2.mov,2,1,2,1147.818,1150.819,0.161,5.79,0.08,2.102,1164.453,1185.78,0.763,0.598,0.305,0.219,4.138,3.854,1.535,2.586,0.724,0,0.855,0,0.806,172,0.778,0.775,0.028,18
social_high_5.m4v,2,2,1,1207.384,1210.385,0,6.357,0.066,1.452,1222.935,1242.96,0.079,0.032,0,0.496,5.189,1.819,3.788,3.354,0.723,0,0.816,0,0.782,172,0.699,0.775,0.028,19
heights_low_4.m4v,1,1,2,1266.6,1269.6,0,1.518,0,1.018,1280.882,1301.908,0,0,0.747,0.95,1.602,1.635,3.487,2.036,0.815,0,0.833,0,0.817,172,0.862,0.775,0.028,20
social_low_5.m4v,2,1,2,1320.159,1323.159,0,2.62,0.038,1.001,1330.52,1350.512,0,0,0.492,0.945,2.436,1.085,3.988,2.753,0.714,0,0.754,0,0.812,172,0.77,0.775,0.028,21
social_high_4_replacement.mov,2,2,1,1370.264,1373.265,0.003,3.521,0,1.185,1381.71,1402,0,0.496,0.114,0.086,6.374,3.521,1.669,1.969,0.81,0,0.788,0,0.786,172,0.807,0.775,0.028,22
spider_low_1.m4v,3,1,2,1425.025,1428.025,0,2.069,0,0.751,1435.586,1455.812,0,0,0,0.539,1.702,0.935,5.256,2.67,0.705,0,0.727,0.052,0.815,172,0.655,0.775,0.028,23
spider_high_6.mov,3,2,1,1475.864,1478.865,0,2.72,0,0.985,1486.309,1505.931,0.167,0.002,0.058,0.51,2.586,1.669,3.02,3.687,0.818,0,0.798,0,0.792,172,1.059,0.775,0.028,24
social_low_3.m4v,2,1,2,1599.084,1602.084,0.023,3.688,0,1.001,1610.513,1630.672,0,0,0,0.5,1.685,0.618,2.636,2.386,0.847,0,0.763,0.052,0.814,172,0.745,0.775,0.028,25
social_high_6.mov,2,2,1,1647.487,1650.488,0,0.968,0,0.834,1657.031,1677.571,0.097,0.598,0.207,0.259,4.038,3.571,4.271,0.952,0.718,0,0.831,0.051,0.84,172,0.741,0.775,0.028,26
social_high_3.mov,2,2,1,1699.895,1702.896,0,1.452,0,0.684,1710.774,1731.147,0.036,0,0,0.575,3.721,2.453,2.97,3.571,0.778,0,0.835,0.052,0.786,172,0.672,0.775,0.028,27
heights_high_1.m4v,1,2,2,1753.354,1756.355,0,3.204,0,0.534,1768.838,1789.264,0.01,0,0,0.5,1.869,2.603,2.236,2.586,0.747,0,0.726,0,0.797,172,0.826,0.775,0.028,28
spider_low_3.m4v,3,1,2,1808.048,1811.048,0,2.937,0,0.885,1818.61,1839.269,0,0,0.738,1,1.352,1.018,2.686,1.402,0.887,0,0.771,0,0.823,172,0.871,0.775,0.028,29
spider_high_3.mov,3,2,1,1855.217,1858.217,0,1.836,0,1.151,1864.944,1885.067,0,0,0,0.374,1.953,1.018,2.036,1.569,0.792,0,0.82,0,0.791,172,0.845,0.775,0.028,30
heights_low_5.m4v,1,1,2,1901.134,1904.135,0,3.053,0,2.386,1918.32,1938.312,0,0,0.844,0.85,1.869,0.951,5.873,1.802,0.781,0,0.827,0,0.784,172,0.708,0.775,0.028,31
heights_low_2.m4v,1,1,1,1958.297,1961.298,0,5.072,0,0.601,1975.717,1995.742,0,0,0.806,1,1.886,2.653,1.702,0.467,0.742,0,0.754,0,0.827,172,0.734,0.775,0.028,32
heights_high_3.m4v,1,2,1,2011.94,2014.94,0,1.735,0,0.534,2025.955,2046.565,0.12,0.287,0.393,0.348,2.453,2.253,2.97,2.47,0.804,0,0.831,0.102,0.793,172,0.784,0.775,0.028,33
social_low_4.m4v,2,1,2,2066.2,2069.2,0,3.504,0,0.384,2076.828,2097.571,0,0,0.746,0.928,1.452,0.684,8.359,2.069,0.715,0,0.827,0,0.864,172,0.667,0.775,0.028,34
spider_high_4.m4v,3,2,2,2119.626,2122.626,0,5.273,0,0.334,2132.974,2153.45,0,0,0.221,0.739,2.536,0.768,1.669,2.069,0.786,0,0.769,0,0.797,172,0.889,0.775,0.028,35
spider_low_5.mov,3,1,1,2169.981,2172.982,0,1.686,0,0.401,2180.81,2201.15,0,0,0.024,0.499,1.385,0.234,7.825,3.17,0.802,0,0.791,0.052,0.804,172,0.731,0.775,0.028,36
spider_low_2.mov,3,1,2,10.078,13.102,0.462,3.154,0.29,1.552,21.591,42.148,0.069,0.046,0.212,0.625,2.57,1.035,1.252,2.019,0.576,0,0.597,0.102,0.588,173,0.584,0.585,0.066,1
spider_low_1.m4v,3,1,1,58.531,61.532,0.379,2.169,0.402,1.151,70.595,90.802,0.11,0.611,0.776,0.049,1.935,0.717,1.635,2.086,0.566,0,0.612,0.104,0.577,173,0.541,0.585,0.066,2
spider_high_2.m4v,3,2,1,106.685,109.685,0.39,2.386,0.744,1.101,116.929,136.988,0.241,0.691,0.746,0.189,2.019,0.818,1.268,1.402,0.598,0,0.607,0.052,0.586,173,0.575,0.585,0.066,3
social_high_6.mov,2,2,2,151.985,154.985,0.353,2.169,0.437,1.352,162.246,182.803,0,0.24,0.142,0.416,1.986,1.034,2.052,1.903,0.589,0,0.613,0.051,0.61,173,0.576,0.585,0.066,4
social_high_4_replacement.mov,2,2,1,199.287,202.289,0.19,2.203,0.126,1.435,209.683,229.973,0.053,0.662,1,0.044,1.619,2.269,1.869,1.068,0.626,0,0.634,0.104,0.637,173,0.582,0.585,0.066,5
heights_low_1.m4v,1,1,2,246.306,249.306,0.661,2.069,0.233,0.784,260.905,281.9,0,0,1,0.5,1.035,0.901,1.118,0.017,0.628,0,0.65,0.05,0.659,173,0.649,0.585,0.066,6
heights_low_2.m4v,1,1,1,294.459,297.459,0.16,1.235,0.126,1.085,308.524,328.566,0,0,0.207,1,1.318,0.717,1.335,0.951,0.664,0,0.669,0,0.689,173,0.654,0.585,0.066,7
spider_high_5.m4v,3,2,2,342.379,345.381,0.569,1.719,0.215,0.768,352.607,373.115,0.165,0.229,0.226,0.124,1.719,1.185,0.784,1.051,0.634,0,0.652,0,0.704,173,0.681,0.585,0.066,8
social_low_6.m4v,2,1,2,387.345,390.345,0.164,2.119,0.124,0.784,398.991,418.416,0,0,0.903,0.704,1.252,0.885,1.735,1.218,0.652,0,0.646,0,0.65,173,0.664,0.585,0.066,9
social_low_2.mov,2,1,1,432.995,435.996,0.143,2.536,0.291,0.634,443.908,465.25,0,0,0.917,0.7,1.852,0.718,1.085,1.669,0.643,0,0.653,0,0.662,173,0.637,0.585,0.066,10
heights_high_5.mov,1,2,2,480.064,483.064,0.291,1.185,0.526,1.101,494.096,514.119,0.84,0.394,0.987,0.566,2.47,2.236,0.951,1.769,0.692,0,0.711,0.158,0.673,173,0.695,0.585,0.066,11
heights_high_4.m4v,1,2,1,531.037,534.037,0.737,2.286,0.599,1.135,546.204,566.48,0.702,0.7,0.986,0.6,1.719,0.751,0.818,1.335,0.684,0,0.698,0.208,0.68,173,0.645,0.585,0.066,12
spider_low_5.mov,3,1,2,655.208,658.208,0.65,1.085,0.225,1.202,666.237,686.56,0.231,0.295,0.573,0.292,1.235,0.701,0.668,0.901,0.634,0,0.721,0,0.683,173,0.662,0.585,0.066,13
social_low_5.m4v,2,1,2,699.573,702.574,0.147,1.468,0.043,0.818,709.601,729.577,0.118,0,0.564,0.957,1.668,0.918,1.218,1.802,0.658,0,0.677,0.053,0.708,173,0.663,0.585,0.066,14
spider_high_1.mov,3,2,2,744.673,747.674,0.616,2.086,0.122,1.352,754.851,774.857,0.288,0.356,0.86,0,1.268,1.302,1.552,0.734,0.672,0,0.682,0.158,0.693,173,0.683,0.585,0.066,15
spider_low_3.m4v,3,1,1,789.206,792.206,0.577,1.936,0.186,1.418,800.301,820.977,0.312,0.584,0.612,0.582,2.77,1.235,1.251,1.468,0.686,0,0.695,0,0.686,173,0.639,0.585,0.066,16
spider_high_3.mov,3,2,1,837.192,840.193,0.789,2.186,0.582,1.735,847.854,867.977,0.405,0.552,0.571,0.149,1.869,0.935,0.884,0.668,0.663,0,0.684,0,0.661,173,0.671,0.585,0.066,17
heights_low_3.mov,1,1,2,881.842,884.842,0.611,1.135,0.236,1.552,896.274,914.779,0,0,0.232,1,1.852,0.701,2.486,0.551,0.656,0,0.678,0.057,0.664,173,0.657,0.585,0.066,18
heights_high_3.m4v,1,2,1,929.861,932.862,0.549,2.052,0.016,0.835,944.494,965.12,0.596,0.808,1,0.699,1.969,1.001,0.768,1.285,0.665,0,0.682,0.204,0.665,173,0.662,0.585,0.066,19
social_low_3.m4v,2,1,2,979.633,982.633,0,2.403,0.199,0.918,989.694,1009.836,0.7,0.338,0.733,0.5,2.57,1.201,1.569,0.017,0.68,0,0.709,0.052,0.675,173,0.661,0.585,0.066,20
social_high_1.mov,2,2,1,1024.683,1027.683,0.291,1.335,0.172,1.218,1035.979,1056.052,0,0.008,1,1,1.251,1.252,1.135,1.068,0.674,0,0.677,0.052,0.658,173,0.684,0.585,0.066,21
social_high_2.mov,2,2,1,1070.25,1073.25,0,1.769,0,0.618,1079.377,1100.334,0.209,0.232,1,0.161,2.637,1.335,0.618,1.352,0.667,0,0.709,0.05,0.676,173,0.627,0.585,0.066,22
heights_low_6.m4v,1,1,2,1115.767,1118.767,0.632,2.219,0.176,1.068,1130.8,1148.807,0.554,0.542,0.758,0.928,1.569,0.935,1.419,0.901,0.656,0,0.715,0.059,0.715,173,0.643,0.585,0.066,23
heights_high_1.m4v,1,2,1,1163.119,1166.12,0.144,1.852,0.593,1.185,1177.902,1198.311,0.56,0.656,1,0.602,1.552,0.551,0.985,2.036,0.7,0,0.685,0.206,0.676,173,0.671,0.585,0.066,24
heights_high_6.mov,1,2,2,1285.271,1288.271,0.661,1.886,0.615,1.685,1300.588,1321.078,0.662,0.771,1,0.865,1.035,0.685,1.035,0.851,0.636,0,0.677,0.154,0.683,173,0.617,0.585,0.066,25
heights_low_5.m4v,1,1,1,1334.175,1337.175,0.58,2.252,0.274,0.851,1349.025,1369.017,0.204,0.375,0.772,1,1.385,0.801,0.801,0.584,0.64,0,0.672,0.105,0.641,173,0.632,0.585,0.066,26
spider_high_4.m4v,3,2,2,1382.078,1385.078,0.597,2.253,0.301,0.934,1394.008,1414.483,0.591,0.765,0.853,0.07,1.936,0.684,1.318,0.734,0.617,0,0.703,0.051,0.682,173,0.596,0.585,0.066,27
spider_low_6.m4v,3,1,1,1428.646,1431.647,0.665,2.019,0.369,0.818,1439.225,1459.731,0.366,0.322,0.537,0.194,2.353,0.784,0.751,0.534,0.604,0,0.652,0.103,0.631,173,0.641,0.585,0.066,28
spider_low_4.m4v,3,1,1,1473.646,1476.646,0.568,2.069,0.264,0.985,1483.423,1503.932,0.421,0.58,0.769,0.212,1.302,0.684,0.517,0.968,0.602,0,0.643,0,0.614,173,0.619,0.585,0.066,29
social_low_1.m4v,2,1,2,1516.894,1519.894,0.155,0.801,0,0.684,1527.122,1547.964,0,0,0.506,0.792,1.018,0.567,1.235,0.701,0.604,0,0.643,0.05,0.62,173,0.557,0.585,0.066,30
heights_low_4.m4v,1,1,2,1560.976,1563.976,0.369,1.485,0.215,1.118,1575.325,1596.351,0.302,0.606,0.951,0.945,2.102,0.484,1.101,0.634,0.617,0,0.596,0.15,0.627,173,0.619,0.585,0.066,31
heights_high_2.mov,1,2,1,1610.164,1613.164,0.551,2.436,0.381,0.701,1625.047,1645.92,0.631,0.796,1,0.602,1.151,0.634,0.484,1.101,0.649,0,0.648,0.252,0.651,173,0.616,0.585,0.066,32
spider_high_6.mov,3,2,2,1658.784,1661.784,0.572,2.036,0.568,1.201,1668.761,1688.384,0.345,0.218,0.153,0.268,0.951,1.168,0.534,1.719,0.638,0,0.671,0,0.657,173,0.678,0.585,0.066,33
social_high_3.mov,2,2,2,1702.249,1705.249,0,2.236,0,0.451,1711.676,1732.066,0,0,0.946,0.733,1.435,0.501,0.718,1.252,0.695,0,0.654,0.206,0.662,173,0.623,0.585,0.066,34
social_high_5.m4v,2,2,1,1745.463,1748.463,0,1.485,0.084,0.734,1755.424,1775.433,0.298,0.659,0.894,0.773,1.435,0.417,0.818,0.801,0.64,0,0.672,0.053,0.632,173,0.668,0.585,0.066,35
social_low_4.m4v,2,1,1,1788.394,1791.394,0.008,0.935,0,0.751,1796.803,1817.546,0,0,0.153,0.521,0.935,0.467,1.352,1.085,0.564,0,0.682,0.051,0.645,173,0.576,0.585,0.066,36
heights_high_4.m4v,1,2,2,10.061,13.087,0.739,2.803,0.397,2.67,27.347,47.623,0.644,0.384,0.534,0.306,3.187,3.988,2.02,2.269,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,1
spider_low_1.m4v,3,1,2,68.609,71.61,0.589,2.92,0.217,1.302,79.589,99.83,0.753,0.736,0.808,0,3.538,3.421,2.386,1.719,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,2
heights_low_6.m4v,1,1,2,120.4,123.4,0.545,3.371,0.369,1.402,136.918,154.925,0.398,0.3,0.212,0.712,3.237,1.252,1.986,2.403,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,3
heights_low_4.m4v,1,1,1,173.308,176.309,0.568,2.369,0.265,1.201,188.625,209.652,0.529,0.522,0.518,0.572,2.336,1.201,1.535,4.539,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,4
heights_high_3.m4v,1,2,1,228.77,231.772,0.438,2.319,0.364,1.502,244.338,264.964,0.672,0.582,0.631,0.335,1.902,1.201,2.52,2.603,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,5
social_low_5.m4v,2,1,2,282.696,285.696,0.601,2.286,0.216,0.584,292.307,312.28,0.443,0.529,0.242,0.684,3.237,5.94,2.853,2.37,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,6
spider_low_2.mov,3,1,2,336.172,339.173,0.559,4.489,0.344,20.84,370.243,390.799,0.316,0.295,0.206,0.622,2.103,1.235,1.235,1.302,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,7
spider_high_5.m4v,3,2,1,406.166,409.166,0.442,2.303,0.372,1.852,418.062,438.555,0.66,0.666,0.665,0.238,2.687,1.402,1.285,1.185,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,8
spider_high_6.mov,3,2,1,454.603,457.603,0.545,3.404,0.374,1.135,465.882,485.504,0.35,0.257,0.258,0.348,2.369,1.151,1.385,3.487,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,9
social_high_3.mov,2,2,2,503.39,506.39,0.538,2.653,0.274,0.501,515.286,535.676,0.564,0.61,0.604,0.322,2.987,1.418,1.535,3.387,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,10
social_high_6.mov,2,2,1,554.496,557.497,0.544,2.787,0.142,0.784,564.808,585.348,0.262,0.559,0.544,0.318,4.122,1.185,2.036,2.57,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,11
social_low_4.m4v,2,1,1,604.752,607.752,0.6,1.018,0.356,1.085,614.596,635.356,0.141,0.27,0.718,0.975,2.319,4.071,2.119,3.154,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,12
social_high_1.mov,2,2,2,762.376,765.376,0.617,2.002,0.157,1.485,772.604,792.677,0.551,0.169,0.695,0.903,6.257,1.952,1.735,1.485,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,13
heights_low_1.m4v,1,1,2,813.616,816.617,0.375,3.521,0.126,2.036,830.919,851.928,0.51,0.124,0.277,0.734,20.556,4.121,8.21,1.369,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,14
social_low_1.m4v,2,1,2,895.673,898.674,0.354,4.071,0.189,1.619,909.088,929.914,0.382,0.63,0.374,0.664,2.486,1.085,2.32,2.737,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,15
social_low_3.m4v,2,1,1,948.031,951.031,0.393,3.855,0.061,2.019,960.645,980.804,0.487,0.336,0.39,0.342,38.693,3.02,2.236,3.37,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,16
social_high_2.mov,2,2,1,1037.614,1040.614,0.387,138.22,0.079,2.019,1186.595,1207.569,0.388,0.358,0.576,0.335,3.921,1.101,1.418,2.67,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,17
spider_high_3.mov,3,2,2,1226.172,1229.172,0.554,1.936,0.142,2.103,1237.952,1258.075,0.441,0.392,0.379,0.399,5.189,1.185,2.787,2.203,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,18
spider_low_6.m4v,3,1,1,1278.931,1281.931,0.362,4.171,0.117,2.319,1292.162,1312.688,0.389,0.315,0.248,0.839,2.703,1.652,1.452,1.335,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,19
spider_high_1.mov,3,2,1,1329.32,1332.32,0.279,1.752,0.279,2.32,1340.132,1360.138,0.627,0.593,0.636,0.041,2.586,3.721,1.435,2.436,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,20
heights_high_5.mov,1,2,2,1379.809,1382.809,0.408,3.32,0.304,2.019,1396.894,1416.917,0.519,0.289,0.378,0.837,4.388,2.486,2.37,1.752,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,21
heights_low_2.m4v,1,1,1,1437.406,1440.406,0.379,4.088,0.263,2.47,1455.693,1475.718,0.257,0.294,0.627,0.922,6.758,1.201,1.936,1.769,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,22
heights_high_1.m4v,1,2,1,1496.872,1499.872,0.383,2.787,0.324,1.302,1512.706,1533.114,0.659,0.395,0.646,0.559,7.525,1.185,0.985,2.169,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,23
spider_low_3.m4v,3,1,2,1554.469,1557.469,0.549,4.455,0.229,1.151,1568.818,1589.493,0.465,0.389,0.574,0.612,3.354,1.502,1.118,1.735,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,24
spider_high_4.m4v,3,2,2,1731.665,1734.665,0.5,6.14,0.204,1.535,1746.08,1766.556,0.552,0.553,0.567,0.35,2.803,0.734,1.068,0.985,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,25
spider_low_5.mov,3,1,1,1781.636,1784.637,0.54,9.177,0.379,0.601,1798.155,1818.478,0.404,0.253,0.116,0.386,7.041,0.951,1.018,2.636,NaN,NaN,NaN,NaN,NaN,174,NaN,NaN,NaN,26
heights_low_2.m4v,1,1,2,10.061,13.087,0.263,3.921,0.374,4.172,29.967,49.992,0,0,0,1,1.952,1.502,1.602,1.252,0.655,0,0.68,0.105,0.601,177,0.709,0.654,0.007,1
social_high_2.mov,2,2,2,65.823,68.824,0.635,4.438,0.391,4.922,81.941,102.898,0.838,0.831,0.176,0,2.887,1.986,1.552,1.185,0.641,0,0.656,0,0.606,177,0.712,0.654,0.007,2
spider_high_5.m4v,3,2,2,120.016,123.017,1,1.569,0.92,1.418,130.761,151.271,1,1,1,0,1.569,1.919,2.203,0.718,0.628,0,0.693,0.051,0.663,177,0.628,0.654,0.007,3
social_low_5.m4v,2,1,2,167.185,170.185,0.685,2.803,0.356,1.719,179.448,199.44,0,0,0.107,0.525,1.502,1.085,2.636,2.553,0.706,0,0.619,0,0.607,177,NaN,0.654,0.007,4
social_high_5.m4v,2,2,1,216.723,219.725,0.665,2.503,0.313,1.902,229.888,249.914,0.757,0.836,0.176,0.047,1.719,3.437,1.302,2.77,0.641,0,0.687,0.105,0.603,177,0.647,0.654,0.007,5
social_low_3.m4v,2,1,1,268.647,271.647,0.627,5.39,0.16,2.386,283.163,303.287,0,0.155,0.266,1,1.402,3.087,3.037,1.118,0.578,0,0.655,0.052,0.611,177,0.671,0.654,0.007,6
spider_low_1.m4v,3,1,2,321.422,324.423,1,2.703,0.73,2.086,334.954,355.195,0.689,0.369,0.268,0.069,3.754,1.919,1.852,1.635,0.615,0,0.655,0,0.643,177,0.592,0.654,0.007,7
spider_low_4.m4v,3,1,1,373.847,376.847,0.883,5.807,0.708,2.219,388.613,409.122,0.605,0.319,0.085,0.12,2.303,1.569,3.571,1.468,0.629,0,0.558,0.051,0.609,177,0.674,0.654,0.007,8
spider_high_3.mov,3,2,1,427.522,430.523,0.871,6.391,0.151,2.086,442.739,462.879,1,0.994,0.782,0,1.969,4.655,2.169,1.001,0.663,0,0.683,0.052,0.609,177,0.599,0.654,0.007,9
heights_high_2.mov,1,2,2,482.183,485.183,0.144,2.002,0.375,5.456,501.388,522.278,0.717,0.646,0.092,0.193,3.371,1.368,2.269,3.387,0.592,0,0.616,0,0.572,177,0.598,0.654,0.007,10
heights_high_1.m4v,1,2,1,542.166,545.166,0.136,6.023,0.194,1.719,561.654,582.08,0.822,0.755,0.069,0.233,4.472,1.201,1.552,1.669,0.601,0,0.572,0.103,0.64,177,0.616,0.654,0.007,11
heights_low_3.mov,1,1,1,600.464,603.464,0.363,3.604,0.598,3.704,619.518,638.039,0,0,0,0.533,1.452,1.252,3.053,4.422,0.647,0,0.617,0.171,0.634,177,0.594,0.654,0.007,12
heights_high_4.m4v,1,2,2,730.624,733.625,0.17,3.821,0.5,0.017,746.209,766.517,0.343,0.657,0.123,0.4,2.77,4.255,1.636,4.372,0.64,0,0.637,0.052,0.64,177,0.592,0.654,0.007,13
heights_low_1.m4v,1,1,1,789.039,792.039,0.153,5.606,0.425,1.819,808.21,829.203,0,0,0,0.953,1.502,0.784,1.051,1.268,0.615,0,0.613,0.05,0.609,177,0.578,0.654,0.007,14
spider_low_3.m4v,3,1,2,843.299,846.299,0.97,1.235,0.879,1.385,854.661,875.32,0.288,0.234,0.286,0.272,2.019,1.485,1.919,2.536,0.72,0,0.661,0,0.634,177,0.638,0.654,0.007,15
spider_high_1.mov,3,2,1,892.77,895.77,0.932,2.62,0.943,1.101,903.232,923.238,0.877,0.953,0.16,0,2.503,1.018,1.769,1.135,0.637,0,0.682,0,0.662,177,0.718,0.654,0.007,16
spider_low_6.m4v,3,1,1,939.155,942.155,0.869,3.487,0.922,1.035,951.418,971.944,0.051,0.102,0.059,0.203,3.287,1.802,1.569,1.051,0.573,0,0.607,0.051,0.584,177,0.665,0.654,0.007,17
heights_high_5.mov,1,2,2,989.143,992.143,0.128,1.652,0.113,2.086,1004.627,1024.65,1,1,0.197,0.092,1.669,0.534,1.368,1.769,0.632,0,0.612,0.053,0.618,177,0.601,0.654,0.007,18
heights_low_5.m4v,1,1,1,1039.482,1042.482,0.165,2.77,0.268,1.802,1055.8,1075.79,0.121,0.27,0.037,0.951,2.069,1.552,2.103,1.585,0.65,0,0.59,0.105,0.589,177,0.709,0.654,0.007,19
social_high_6.mov,2,2,2,1092.607,1095.608,0.286,3.354,0.247,2.703,1107.407,1127.947,1,1,0.188,0,2.253,0.668,5.523,3.154,0.642,0,0.603,0.051,0.625,177,0.628,0.654,0.007,20
spider_high_4.m4v,3,2,2,1149.036,1152.037,0.907,1.051,0.945,1.168,1157.996,1178.473,0.852,0.803,0.403,0.002,3.738,0.918,1.202,1.552,0.617,0,0.612,0,0.586,177,0.592,0.654,0.007,21
social_high_4_replacement.mov,2,2,2,1195.371,1198.371,0.243,3.804,0.263,2.002,1208.919,1229.226,1,1,0.228,0,10.912,0.501,2.686,2.603,0.583,0,0.637,0.052,0.605,177,0.623,0.654,0.007,22
social_low_1.m4v,2,1,1,1255.421,1258.421,0.264,5.556,0.272,1.035,1268.735,1289.563,0,0,0,1,2.853,0.484,0.534,0.751,0.613,0,0.643,0.05,0.624,177,0.667,0.654,0.007,23
social_low_2.mov,2,1,1,1303.674,1306.674,0.282,18.688,0.272,1.285,1330.387,1351.73,0.933,1,0.255,0.188,2.587,0.451,2.319,1.385,0.606,0,0.624,0.049,0.607,177,0.566,0.654,0.007,24
social_low_4.m4v,2,1,2,1441.259,1444.26,0.337,2.703,0.414,0.968,1452.672,1473.398,0,0.189,0.004,0.875,1.952,1.218,1.485,1.435,0.612,0,0.685,0.051,0.617,177,0.631,0.654,0.007,25
social_low_6.m4v,2,1,1,1488.979,1491.979,0.321,4.772,0.364,1.135,1503.628,1523.053,0.171,0.816,0.125,0.638,4.639,1.368,1.769,4.155,0.636,0,0.571,0.054,0.599,177,0.704,0.654,0.007,26
spider_high_2.m4v,3,2,2,1544.473,1547.474,0.966,1.302,0.876,2.753,1556.253,1576.312,0.607,0.65,0.201,0,3.521,0.818,1.068,2.953,0.589,0,0.646,0,0.558,177,0.599,0.654,0.007,27
spider_low_2.mov,3,1,1,1594.162,1597.162,0.891,1.268,0.854,1.068,1605.241,1625.781,0.066,0.094,0.058,0.597,2.386,0.867,1.051,4.505,0.663,0,0.58,0.051,0.601,177,0.653,0.654,0.007,28
spider_high_6.mov,3,2,1,1644.083,1647.084,0.821,2.987,0.824,1.252,1655.062,1674.685,0.809,0.952,0.36,0,4.205,1.485,2.703,0.968,0.574,0,0.637,0.107,0.58,177,0.624,0.654,0.007,29
heights_high_3.m4v,1,2,2,1693.538,1696.538,0.845,4.722,0.795,1.435,1711.441,1732.068,0.877,0.918,0.36,0.272,2.269,1.402,2.036,2.036,0.541,0,0.604,0.102,0.599,177,0.599,0.654,0.007,30
heights_high_6.mov,1,2,1,1749.3,1752.3,0.181,2.153,0.232,4.188,1767.386,1787.893,0.228,0.306,0.073,0.479,2.353,0.984,1.068,2.536,0.562,0,0.591,0.103,0.581,177,0.54,0.654,0.007,31
social_high_3.mov,2,2,2,1804.327,1807.328,0.332,2.486,0.313,1.118,1814.672,1835.045,0.783,1,0.168,0.15,2.086,0.434,1.001,2.269,0.63,0,0.61,0.052,0.614,177,0.566,0.654,0.007,32
social_high_1.mov,2,2,1,1850.328,1853.328,0.267,1.719,0.291,0.885,1859.672,1879.745,0,0.131,0.034,0.86,1.018,2.169,1.519,2.486,0.631,0,0.603,0,0.603,177,0.71,0.654,0.007,33
