,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
70,14,21,16,13,0,15,32,2,18,19,25,17,6,4,5,23,3,1,20,7,22,10,8,26,11,12,24,28,29,31,9,38,27,30,37,34,36,35,33
71,3,27,29,26,6,28,2,30,1,5,31,4,37,35,15,38,17,16,0,13,18,19,32,21,33,34,36,10,25,12,14,11,22,23,20,24,9,7,8
72,32,0,13,6,3,2,17,29,4,5,15,28,31,26,18,16,27,30,1,14,21,19,37,35,38,25,22,10,33,36,12,11,34,23,8,24,9,20,7
73,32,0,13,29,28,31,30,27,37,26,3,6,35,2,15,38,17,18,4,5,16,14,33,36,1,19,21,34,25,22,11,12,8,24,10,23,9,7,20
74,3,6,2,1,5,4,26,27,28,29,17,15,30,16,31,19,18,0,13,21,32,37,38,35,10,25,14,12,34,33,36,11,23,20,22,7,24,9,8
75,3,6,2,1,26,27,5,4,28,29,30,31,17,15,16,19,18,37,0,13,35,38,32,21,10,25,34,33,36,12,14,11,23,20,22,24,9,7,8
76,6,32,3,0,13,2,29,4,5,28,17,26,15,31,27,1,16,30,18,19,21,37,14,35,38,25,10,33,36,34,12,11,22,23,24,8,9,20,7
77,6,3,2,5,1,4,26,17,28,27,29,15,0,13,16,32,31,30,18,19,21,37,35,38,10,14,25,12,34,33,36,11,23,22,20,24,9,8,7
78,3,6,29,2,27,26,28,5,4,30,1,31,0,13,17,32,15,37,35,16,18,38,19,21,33,10,34,36,25,14,12,11,22,23,24,9,20,8,7
79,3,6,2,1,5,4,26,27,28,29,30,17,31,15,16,19,18,0,13,37,32,35,38,21,10,25,14,34,12,33,36,11,23,22,20,24,9,7,8
80,6,3,2,4,5,0,13,26,1,29,28,32,17,27,15,16,31,30,18,19,21,37,35,38,14,25,10,12,34,33,36,11,22,23,20,24,7,8,9
81,6,3,2,4,5,1,17,16,15,0,13,32,19,18,21,26,28,27,14,29,25,10,31,30,38,35,37,12,23,11,22,34,20,36,33,7,24,8,9
82,3,6,1,27,26,2,5,29,28,4,30,31,17,15,16,0,13,37,35,18,32,19,38,21,10,33,25,34,36,12,14,11,23,22,9,24,20,8,7
83,27,29,28,30,26,3,31,37,35,2,6,1,38,5,4,15,33,0,13,34,36,17,16,18,19,32,21,10,12,25,11,14,22,24,20,9,23,7,8
