,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
81,3,5,2,6,13,0,32,4,1,12,9,16,7,11,19,28,37,10,30,22,26,29,18,33,27,20,17,36,8,31,35,24,25,21,14,38,23,15,34
82,5,3,2,13,0,6,32,1,4,9,12,7,16,22,26,19,33,10,28,8,30,20,11,37,18,29,27,17,24,35,25,14,36,31,34,38,15,23,21
83,3,5,2,13,6,0,32,1,4,9,12,7,16,22,10,19,26,28,11,37,30,33,18,29,20,8,27,17,24,36,25,35,31,14,23,38,34,21,15
84,3,13,5,2,0,6,32,1,9,4,10,7,22,12,26,16,28,37,8,11,33,24,19,20,30,18,25,29,17,27,14,35,36,31,23,34,21,38,15
85,3,2,5,6,13,0,1,32,9,4,10,12,7,11,16,37,28,22,26,30,19,18,29,24,17,33,25,20,8,27,36,21,31,23,35,14,38,34,15
86,3,6,2,5,10,9,12,11,13,37,1,4,21,0,28,16,23,32,7,18,17,36,24,26,30,25,31,29,19,22,27,20,35,33,8,14,38,15,34
87,13,3,5,2,0,6,32,1,4,9,7,22,10,12,26,8,16,33,28,19,20,37,11,30,18,24,29,25,17,27,14,35,36,31,34,23,38,15,21
88,3,5,2,13,0,6,32,1,4,9,12,7,10,16,22,26,28,11,37,19,33,30,8,18,20,29,24,17,27,25,36,35,31,14,23,21,34,38,15
89,3,2,5,6,13,0,32,1,4,9,12,10,16,7,11,37,28,22,26,19,30,18,29,33,17,20,24,27,8,25,36,31,21,23,35,14,38,34,15
90,3,6,13,2,5,0,1,10,9,32,4,37,11,7,28,12,24,26,22,16,25,21,18,23,17,8,30,29,31,20,19,33,36,27,14,35,34,38,15
91,5,3,2,13,0,6,32,1,4,9,12,7,22,16,26,19,33,10,8,28,30,20,11,37,29,18,27,17,24,25,35,14,36,31,34,38,23,15,21
