,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
52,32,13,0,15,17,25,30,31,21,6,33,38,18,24,14,3,23,10,1,26,35,28,19,29,2,16,22,9,34,37,5,12,27,4,11,36,8,7,20
53,32,13,0,15,17,25,30,31,21,38,6,33,18,24,14,23,10,1,26,3,35,28,16,9,34,19,29,12,2,37,22,5,11,4,27,7,36,8,20
54,3,15,2,19,8,36,22,5,29,14,27,20,1,28,30,10,23,35,6,17,26,7,33,4,37,0,9,34,18,25,16,21,11,31,12,38,24,13,32
55,32,13,0,15,17,30,25,6,3,33,31,21,14,18,38,23,10,1,19,24,35,2,26,28,29,22,5,9,16,34,37,27,36,8,4,12,11,7,20
56,32,0,13,15,17,30,3,25,14,6,33,2,21,23,19,31,10,18,1,29,22,35,38,5,26,28,24,36,8,9,16,27,37,34,4,12,7,11,20
57,15,0,3,2,19,14,22,5,8,29,36,30,17,13,1,10,23,27,6,28,35,33,20,26,25,32,18,9,21,4,7,37,31,16,34,11,38,12,24
58,0,32,13,15,17,3,30,14,2,19,6,25,33,10,23,29,22,1,5,21,28,35,31,18,26,8,36,27,38,9,37,16,34,4,24,20,7,11,12
59,0,32,13,15,3,17,30,2,14,19,6,25,23,29,22,33,1,10,5,36,28,35,8,21,18,26,31,27,9,38,37,16,20,4,34,7,24,11,12
60,32,13,0,15,17,30,25,3,6,14,33,31,21,23,18,10,38,19,2,1,35,26,29,28,24,22,5,9,16,34,37,27,36,8,4,12,11,7,20
61,32,13,0,15,17,30,25,3,6,33,14,31,21,18,23,10,38,19,1,2,35,26,28,29,24,22,5,9,34,16,27,37,36,8,4,12,11,7,20
62,3,15,2,19,8,36,5,22,14,29,27,1,30,20,28,10,23,6,35,17,26,0,33,7,4,9,37,18,25,16,34,21,11,31,12,38,24,13,32
63,3,15,2,19,8,36,22,5,14,29,27,1,30,20,28,10,23,35,6,17,0,26,7,33,4,9,37,25,18,16,34,21,11,31,12,38,24,13,32
64,0,32,13,15,3,17,30,2,19,14,6,22,25,29,10,1,33,23,5,28,35,8,36,21,26,18,31,27,38,9,37,20,4,16,34,7,24,11,12
65,3,2,19,36,8,15,5,22,29,20,27,14,28,1,7,10,23,35,4,30,26,37,9,6,33,34,16,11,18,17,21,12,25,31,38,24,0,13,32
66,32,0,13,15,17,3,30,14,25,6,2,19,33,23,21,10,31,1,29,18,22,5,35,28,26,38,8,36,27,9,24,16,37,34,4,7,20,12,11
67,15,3,2,19,0,8,22,5,14,36,29,30,27,1,17,10,28,23,6,20,35,33,26,4,7,25,9,37,18,21,16,31,34,11,13,38,12,24,32
68,3,2,15,19,36,8,22,5,29,14,27,20,28,1,10,30,23,35,7,6,26,4,33,37,9,17,34,18,16,11,25,21,31,12,38,24,0,13,32
69,32,13,0,15,17,30,25,6,3,31,33,21,14,18,38,23,10,1,24,19,35,2,26,28,29,22,5,16,9,34,37,27,36,8,4,12,11,7,20
70,3,2,15,19,8,36,22,5,29,27,14,20,28,1,10,30,35,23,7,6,26,4,37,33,9,17,34,16,18,11,25,21,31,12,38,24,0,13,32
71,0,32,13,15,17,3,30,14,2,19,25,6,23,10,33,22,1,29,5,28,21,18,35,36,31,8,26,27,38,9,16,37,34,4,20,24,7,11,12
72,3,15,2,19,36,22,8,5,29,14,27,20,1,28,30,10,23,35,6,17,26,33,7,0,4,37,9,18,34,25,16,21,11,31,38,12,24,13,32
73,0,15,3,2,13,19,14,17,22,30,5,29,36,8,32,1,10,23,6,28,27,33,35,25,26,20,18,21,9,4,37,31,7,16,34,38,11,12,24
74,0,13,32,15,3,17,2,30,19,14,6,22,29,5,10,25,1,23,33,8,28,36,35,27,26,21,18,31,9,20,38,37,4,16,34,7,24,11,12
75,32,0,13,15,17,3,30,25,14,6,19,33,2,23,10,31,1,21,18,29,22,28,35,26,5,38,36,27,8,24,9,34,37,16,4,20,7,11,12
76,15,0,3,2,19,14,5,22,36,8,29,17,30,13,23,1,10,28,6,27,35,33,20,26,25,9,18,21,7,4,37,32,16,31,34,11,38,12,24
